# step energy mass x-momentum y-momentum z-momentum 
1 3.4816999e+10 1.2083713e+05 5.9941663e+07 4.1276988e+07 0.0000000e+00
2 3.3899650e+10 1.1746213e+05 5.8387882e+07 3.6706126e+07 0.0000000e+00
3 3.2356075e+10 1.1189077e+05 5.6468991e+07 3.2441178e+07 0.0000000e+00
4 3.0057106e+10 1.0366928e+05 5.4175311e+07 2.8044649e+07 0.0000000e+00
5 2.7047847e+10 9.2985919e+04 5.1350576e+07 2.3220707e+07 0.0000000e+00
6 2.3385381e+10 8.0452940e+04 4.8421571e+07 2.0483305e+07 0.0000000e+00
7 1.9793469e+10 6.8327557e+04 4.5425383e+07 1.7766585e+07 0.0000000e+00
8 1.6728502e+10 5.7535959e+04 4.2315423e+07 1.4697308e+07 0.0000000e+00
9 1.4004114e+10 4.8195011e+04 3.9358410e+07 1.2573537e+07 0.0000000e+00
10 1.1599911e+10 3.9852593e+04 3.6621893e+07 1.0208754e+07 0.0000000e+00
11 9.5401457e+09 3.2592046e+04 3.3745555e+07 8.0077818e+06 0.0000000e+00
12 7.6955652e+09 2.6310553e+04 3.1558109e+07 6.2605190e+06 0.0000000e+00
13 6.3337291e+09 2.1588884e+04 2.9547404e+07 4.9270370e+06 0.0000000e+00
14 5.3308448e+09 1.8120902e+04 2.7720608e+07 3.8989591e+06 0.0000000e+00
15 4.7104563e+09 1.5950023e+04 2.6018964e+07 3.3007056e+06 0.0000000e+00
16 4.1676610e+09 1.4067834e+04 2.4517943e+07 2.6235373e+06 0.0000000e+00
17 3.8058424e+09 1.2795124e+04 2.3138540e+07 2.1953743e+06 0.0000000e+00
18 3.6363601e+09 1.2168409e+04 2.1870626e+07 1.8976957e+06 0.0000000e+00
19 3.6725344e+09 1.2373700e+04 2.0716043e+07 1.8801066e+06 0.0000000e+00
20 4.0052301e+09 1.3608095e+04 1.9690238e+07 1.9990812e+06 0.0000000e+00
21 4.5909387e+09 1.5716549e+04 1.8789865e+07 2.1549875e+06 0.0000000e+00
22 5.3301042e+09 1.8396147e+04 1.7989478e+07 2.2627319e+06 0.0000000e+00
23 6.1271919e+09 2.1320723e+04 1.7268677e+07 2.2478632e+06 0.0000000e+00
24 6.9053506e+09 2.4015695e+04 1.6607090e+07 2.0550048e+06 0.0000000e+00
25 7.5610399e+09 2.6277379e+04 1.5954936e+07 1.7600699e+06 0.0000000e+00
26 7.9506622e+09 2.7661460e+04 1.5274763e+07 1.4251759e+06 0.0000000e+00
27 8.0017338e+09 2.7880335e+04 1.4554180e+07 1.3596370e+06 0.0000000e+00
28 7.6929664e+09 2.6855578e+04 1.3790498e+07 1.4395960e+06 0.0000000e+00
29 7.0809318e+09 2.4798007e+04 1.2993187e+07 1.5564992e+06 0.0000000e+00
30 6.2225658e+09 2.1883157e+04 1.2192920e+07 1.6439384e+06 0.0000000e+00
31 5.2456270e+09 1.8589353e+04 1.1418680e+07 1.7049024e+06 0.0000000e+00
32 4.5512210e+09 1.6113696e+04 1.0725705e+07 1.7682230e+06 0.0000000e+00
33 4.1242242e+09 1.4577234e+04 1.0130876e+07 1.7452340e+06 0.0000000e+00
34 3.9788831e+09 1.4026803e+04 9.6002008e+06 1.6328034e+06 0.0000000e+00
35 3.8640075e+09 1.3622636e+04 9.1223684e+06 1.4648392e+06 0.0000000e+00
36 3.7513762e+09 1.3232928e+04 8.6891733e+06 1.2764995e+06 0.0000000e+00
37 3.6944974e+09 1.2998681e+04 8.3071698e+06 1.0863917e+06 0.0000000e+00
38 3.7092023e+09 1.2998058e+04 7.9779313e+06 1.0140861e+06 0.0000000e+00
39 3.7904675e+09 1.3197961e+04 7.7026075e+06 1.0106755e+06 0.0000000e+00
40 3.8331825e+09 1.3294058e+04 7.4646553e+06 1.0140582e+06 0.0000000e+00
41 3.8132736e+09 1.3215780e+04 7.2517481e+06 1.0097445e+06 0.0000000e+00
42 3.8158459e+09 1.3232105e+04 7.0755044e+06 9.9121102e+05 0.0000000e+00
43 3.9383375e+09 1.3677153e+04 6.9348359e+06 9.5459288e+05 0.0000000e+00
44 4.1425908e+09 1.4401012e+04 6.8081255e+06 8.7320234e+05 0.0000000e+00
45 4.3449411e+09 1.5115552e+04 6.6842898e+06 7.6590938e+05 0.0000000e+00
46 4.5527203e+09 1.5843244e+04 6.5647932e+06 6.6828286e+05 0.0000000e+00
47 4.7194438e+09 1.6445859e+04 6.4378002e+06 6.1855322e+05 0.0000000e+00
48 4.8318333e+09 1.6875025e+04 6.3037062e+06 6.1350727e+05 0.0000000e+00
49 4.9256930e+09 1.7234218e+04 6.1734116e+06 6.0943941e+05 0.0000000e+00
50 5.0106990e+09 1.7564591e+04 6.0442983e+06 5.9457738e+05 0.0000000e+00
51 5.1125027e+09 1.7951762e+04 5.9235739e+06 5.6971352e+05 0.0000000e+00
52 5.2066461e+09 1.8310974e+04 5.8042989e+06 5.3207514e+05 0.0000000e+00
53 5.2998003e+09 1.8666443e+04 5.6918625e+06 4.9030914e+05 0.0000000e+00
54 5.3722711e+09 1.8958111e+04 5.5789448e+06 4.5478862e+05 0.0000000e+00
55 5.4269272e+09 1.9189330e+04 5.4674031e+06 4.3438958e+05 0.0000000e+00
56 5.4758197e+09 1.9395339e+04 5.3582913e+06 4.3404161e+05 0.0000000e+00
57 5.5064341e+09 1.9549481e+04 5.2476357e+06 4.3444164e+05 0.0000000e+00
58 5.5195482e+09 1.9642934e+04 5.1350642e+06 4.2759698e+05 0.0000000e+00
59 5.5182207e+09 1.9687712e+04 5.0213914e+06 4.1383103e+05 0.0000000e+00
60 5.5002405e+09 1.9674467e+04 4.9056506e+06 3.9171932e+05 0.0000000e+00
61 5.4650326e+09 1.9600140e+04 4.7873047e+06 3.7022504e+05 0.0000000e+00
62 5.4082380e+09 1.9450950e+04 4.6649998e+06 3.5153203e+05 0.0000000e+00
63 5.3319154e+09 1.9230065e+04 4.5381932e+06 3.3980254e+05 0.0000000e+00
64 5.2359130e+09 1.8937660e+04 4.4076075e+06 3.3133718e+05 0.0000000e+00
65 5.1198813e+09 1.8568912e+04 4.2738041e+06 3.2105560e+05 0.0000000e+00
66 4.9867188e+09 1.8136087e+04 4.1371406e+06 3.0972718e+05 0.0000000e+00
67 4.8374282e+09 1.7641924e+04 3.9969560e+06 3.0490859e+05 0.0000000e+00
68 4.6747036e+09 1.7093948e+04 3.8546270e+06 3.0173622e+05 0.0000000e+00
69 4.5020348e+09 1.6505990e+04 3.7137538e+06 2.9727632e+05 0.0000000e+00
70 4.3220034e+09 1.5886543e+04 3.5821933e+06 2.8952160e+05 0.0000000e+00
71 4.1427825e+09 1.5263356e+04 3.4539351e+06 2.8059873e+05 0.0000000e+00
72 3.9666209e+09 1.4647771e+04 3.3290025e+06 2.6953441e+05 0.0000000e+00
73 3.7986818e+09 1.4059846e+04 3.2087946e+06 2.5734847e+05 0.0000000e+00
74 3.6438113e+09 1.3515711e+04 3.0945848e+06 2.4514767e+05 0.0000000e+00
75 3.5047650e+09 1.3027870e+04 2.9874013e+06 2.3337396e+05 0.0000000e+00
76 3.3835711e+09 1.2604487e+04 2.8878505e+06 2.2332169e+05 0.0000000e+00
77 3.2814440e+09 1.2250540e+04 2.7964138e+06 2.1435092e+05 0.0000000e+00
78 3.1940007e+09 1.1949290e+04 2.7124099e+06 2.0576992e+05 0.0000000e+00
79 3.1191525e+09 1.1695665e+04 2.6352592e+06 1.9951193e+05 0.0000000e+00
80 3.0529427e+09 1.1474042e+04 2.5637855e+06 1.9484974e+05 0.0000000e+00
81 2.9929814e+09 1.1275359e+04 2.4971309e+06 1.9158521e+05 0.0000000e+00
82 2.9344951e+09 1.1081530e+04 2.4339008e+06 1.8884537e+05 0.0000000e+00
83 2.8751643e+09 1.0883447e+04 2.3734051e+06 1.8658752e+05 0.0000000e+00
84 2.8144066e+09 1.0679142e+04 2.3149585e+06 1.8408944e+05 0.0000000e+00
85 2.7521890e+09 1.0467842e+04 2.2581118e+06 1.8147806e+05 0.0000000e+00
86 2.6881767e+09 1.0248631e+04 2.2021366e+06 1.7942969e+05 0.0000000e+00
87 2.6222879e+09 1.0020696e+04 2.1472472e+06 1.7568529e+05 0.0000000e+00
88 2.5545016e+09 9.7850337e+03 2.0935546e+06 1.7141133e+05 0.0000000e+00
89 2.4869119e+09 9.5473331e+03 2.0409189e+06 1.6790737e+05 0.0000000e+00
90 2.4196121e+09 9.3108667e+03 1.9895555e+06 1.6453738e+05 0.0000000e+00
91 2.3527756e+09 9.0736029e+03 1.9395539e+06 1.6125674e+05 0.0000000e+00
92 2.2889073e+09 8.8461928e+03 1.8907930e+06 1.5765920e+05 0.0000000e+00
93 2.2356226e+09 8.6559176e+03 1.8443353e+06 1.4923753e+05 0.0000000e+00
94 2.1886885e+09 8.4905320e+03 1.8003438e+06 1.4019791e+05 0.0000000e+00
95 2.1377246e+09 8.3098685e+03 1.7552777e+06 1.2489935e+05 0.0000000e+00
96 2.0845845e+09 8.1201240e+03 1.7097186e+06 1.1740740e+05 0.0000000e+00
97 2.0321676e+09 7.9324386e+03 1.6651022e+06 1.1465074e+05 0.0000000e+00
98 1.9809366e+09 7.7483797e+03 1.6214089e+06 1.1239110e+05 0.0000000e+00
99 1.9294302e+09 7.5624775e+03 1.5788300e+06 1.1115880e+05 0.0000000e+00
100 1.8782205e+09 7.3773191e+03 1.5369771e+06 1.0957686e+05 0.0000000e+00
101 1.8263801e+09 7.1875725e+03 1.4958710e+06 1.0935100e+05 0.0000000e+00
102 1.7744122e+09 6.9983067e+03 1.4556638e+06 1.0622034e+05 0.0000000e+00
103 1.7231081e+09 6.8085081e+03 1.4163946e+06 1.0280735e+05 0.0000000e+00
104 1.6727159e+09 6.6213267e+03 1.3782703e+06 9.9273048e+04 0.0000000e+00
105 1.6239246e+09 6.4406529e+03 1.3412354e+06 9.6189550e+04 0.0000000e+00
106 1.5755055e+09 6.2590954e+03 1.3049242e+06 9.3587477e+04 0.0000000e+00
107 1.5292815e+09 6.0858278e+03 1.2698135e+06 9.0886759e+04 0.0000000e+00
108 1.4849740e+09 5.9195448e+03 1.2356530e+06 8.8104833e+04 0.0000000e+00
109 1.4428019e+09 5.7621552e+03 1.2025440e+06 8.5343395e+04 0.0000000e+00
110 1.4020917e+09 5.6078350e+03 1.1705045e+06 8.2863972e+04 0.0000000e+00
111 1.3628022e+09 5.4609444e+03 1.1392353e+06 8.0324810e+04 0.0000000e+00
112 1.3255477e+09 5.3207534e+03 1.1090548e+06 7.7577659e+04 0.0000000e+00
113 1.2886869e+09 5.1813454e+03 1.0795770e+06 7.4850164e+04 0.0000000e+00
114 1.2533932e+09 5.0498805e+03 1.0508725e+06 7.2597034e+04 0.0000000e+00
115 1.2183965e+09 4.9179288e+03 1.0229596e+06 7.0362530e+04 0.0000000e+00
116 1.1832355e+09 4.7846367e+03 9.9583774e+05 6.8412184e+04 0.0000000e+00
117 1.1491755e+09 4.6558725e+03 9.6961497e+05 6.5876738e+04 0.0000000e+00
118 1.1162851e+09 4.5314315e+03 9.4387380e+05 6.3851669e+04 0.0000000e+00
119 1.0837056e+09 4.4077362e+03 9.1833844e+05 6.2067089e+04 0.0000000e+00
120 1.0512852e+09 4.2853889e+03 8.9302722e+05 6.0254163e+04 0.0000000e+00
121 1.0186375e+09 4.1602807e+03 8.6814417e+05 5.8937029e+04 0.0000000e+00
122 9.8692771e+08 4.0387333e+03 8.4376654e+05 5.7625318e+04 0.0000000e+00
123 9.5485489e+08 3.9170121e+03 8.1851907e+05 5.6350592e+04 0.0000000e+00
124 9.2246571e+08 3.7939764e+03 7.9303374e+05 5.5062328e+04 0.0000000e+00
125 8.8953324e+08 3.6674545e+03 7.6694896e+05 5.3842783e+04 0.0000000e+00
126 8.5492561e+08 3.5345338e+03 7.3972609e+05 5.3976260e+04 0.0000000e+00
127 8.1956770e+08 3.3980512e+03 7.1135521e+05 5.2465179e+04 0.0000000e+00
128 7.8402829e+08 3.2616731e+03 6.8118978e+05 5.0669828e+04 0.0000000e+00
129 7.4889512e+08 3.1268515e+03 6.4906185e+05 4.8947305e+04 0.0000000e+00
130 7.1333196e+08 2.9899962e+03 6.1449446e+05 4.7372744e+04 0.0000000e+00
131 6.7741976e+08 2.8527495e+03 5.7760869e+05 4.6000687e+04 0.0000000e+00
132 6.4111576e+08 2.7144753e+03 5.4176490e+05 4.4721703e+04 0.0000000e+00
133 6.0654602e+08 2.5834222e+03 5.1525119e+05 4.4169676e+04 0.0000000e+00
134 5.7388717e+08 2.4622873e+03 5.0118764e+05 4.4293650e+04 0.0000000e+00
135 5.4393032e+08 2.3536149e+03 4.9933307e+05 4.4622811e+04 0.0000000e+00
136 5.1632204e+08 2.2545455e+03 5.1106137e+05 4.5509835e+04 0.0000000e+00
137 4.8987662e+08 2.1607899e+03 5.3012421e+05 4.5805269e+04 0.0000000e+00
138 4.6518099e+08 2.0752885e+03 5.5155251e+05 4.5930396e+04 0.0000000e+00
139 4.4269592e+08 1.9993695e+03 5.7353536e+05 4.6077741e+04 0.0000000e+00
140 4.2242366e+08 1.9312052e+03 5.9330017e+05 4.6235752e+04 0.0000000e+00
141 4.0397596e+08 1.8720076e+03 6.0953367e+05 4.6328397e+04 0.0000000e+00
142 3.8825387e+08 1.8223082e+03 6.2308597e+05 4.6697487e+04 0.0000000e+00
143 3.7413824e+08 1.7778504e+03 6.3440721e+05 4.6467453e+04 0.0000000e+00
144 3.6068376e+08 1.7344439e+03 6.4425888e+05 4.6483360e+04 0.0000000e+00
145 3.4877877e+08 1.6955299e+03 6.5313506e+05 4.7097499e+04 0.0000000e+00
146 3.3668846e+08 1.6547927e+03 6.6066941e+05 4.7824400e+04 0.0000000e+00
147 3.2630861e+08 1.6197135e+03 6.6616426e+05 4.8939072e+04 0.0000000e+00
148 3.1498962e+08 1.5801921e+03 6.6894084e+05 4.8927160e+04 0.0000000e+00
149 3.0184672e+08 1.5343752e+03 6.6989718e+05 4.8587942e+04 0.0000000e+00
150 2.8804852e+08 1.4858062e+03 6.6903978e+05 4.7894938e+04 0.0000000e+00
151 2.7352262e+08 1.4331512e+03 6.6727519e+05 4.7865167e+04 0.0000000e+00
152 2.5872583e+08 1.3798451e+03 6.6515977e+05 4.7809419e+04 0.0000000e+00
153 2.4604776e+08 1.3350729e+03 6.6264134e+05 4.8070821e+04 0.0000000e+00
154 2.3284876e+08 1.2882776e+03 6.5982075e+05 4.7309781e+04 0.0000000e+00
155 2.1940021e+08 1.2407878e+03 6.5766369e+05 4.7332749e+04 0.0000000e+00
156 2.0645420e+08 1.1945650e+03 6.5551088e+05 4.7666464e+04 0.0000000e+00
157 1.9635010e+08 1.1598656e+03 6.5300887e+05 4.7970757e+04 0.0000000e+00
158 1.8589013e+08 1.1220952e+03 6.5016092e+05 4.6221721e+04 0.0000000e+00
159 1.7555261e+08 1.0827153e+03 6.4744150e+05 4.4945215e+04 0.0000000e+00
160 1.6638615e+08 1.0474393e+03 6.4500371e+05 4.3879532e+04 0.0000000e+00
161 1.5860564e+08 1.0170874e+03 6.4199883e+05 4.2686147e+04 0.0000000e+00
162 1.5348379e+08 9.9581499e+02 6.3891169e+05 4.1718453e+04 0.0000000e+00
163 1.5040162e+08 9.8277648e+02 6.3593263e+05 4.0657850e+04 0.0000000e+00
164 1.4973120e+08 9.7911402e+02 6.3333814e+05 4.0911575e+04 0.0000000e+00
165 1.4923042e+08 9.7674635e+02 6.3025906e+05 4.0759312e+04 0.0000000e+00
166 1.4776443e+08 9.6997455e+02 6.2711434e+05 4.0156715e+04 0.0000000e+00
167 1.4632363e+08 9.6277163e+02 6.2378888e+05 3.9384933e+04 0.0000000e+00
168 1.4447250e+08 9.5439367e+02 6.2006356e+05 3.8638420e+04 0.0000000e+00
169 1.4359078e+08 9.5000981e+02 6.1642915e+05 3.8014884e+04 0.0000000e+00
170 1.4352608e+08 9.4802123e+02 6.1255090e+05 3.7536757e+04 0.0000000e+00
171 1.4263981e+08 9.4270610e+02 6.0832458e+05 3.6789742e+04 0.0000000e+00
172 1.4132772e+08 9.3642002e+02 6.0400534e+05 3.6222045e+04 0.0000000e+00
173 1.3981290e+08 9.2848531e+02 5.9948790e+05 3.5848798e+04 0.0000000e+00
174 1.3750034e+08 9.1761987e+02 5.9484156e+05 3.5646553e+04 0.0000000e+00
175 1.3481058e+08 9.0587017e+02 5.9001086e+05 3.5498501e+04 0.0000000e+00
176 1.3172306e+08 8.9204856e+02 5.8524725e+05 3.5256362e+04 0.0000000e+00
177 1.2842956e+08 8.7705206e+02 5.8053986e+05 3.5158344e+04 0.0000000e+00
178 1.2491256e+08 8.6105119e+02 5.7575397e+05 3.4919241e+04 0.0000000e+00
179 1.2103352e+08 8.4404358e+02 5.7040397e+05 3.4478124e+04 0.0000000e+00
180 1.1630212e+08 8.2396719e+02 5.6447847e+05 3.4036555e+04 0.0000000e+00
181 1.1137053e+08 8.0389686e+02 5.5901430e+05 3.3734644e+04 0.0000000e+00
182 1.0671374e+08 7.8505254e+02 5.5348341e+05 3.3351832e+04 0.0000000e+00
183 1.0192469e+08 7.6640147e+02 5.4781359e+05 3.2974102e+04 0.0000000e+00
184 9.6911262e+07 7.4739929e+02 5.4194251e+05 3.2740686e+04 0.0000000e+00
185 9.2592428e+07 7.2886015e+02 5.3597418e+05 3.2325512e+04 0.0000000e+00
186 8.9028317e+07 7.1135790e+02 5.3003186e+05 3.1819427e+04 0.0000000e+00
