# step energy mass x-momentum y-momentum z-momentum 
1 3.4828846e+10 1.2087820e+05 1.9460852e+08 4.3129624e+07 0.0000000e+00
2 3.9036319e+10 1.3160037e+05 1.7828131e+08 3.4996374e+07 0.0000000e+00
3 4.1104175e+10 1.3590033e+05 1.6176613e+08 2.9336335e+07 0.0000000e+00
4 4.0173496e+10 1.3107466e+05 1.4559560e+08 2.4706514e+07 0.0000000e+00
5 3.6427386e+10 1.2214634e+05 1.2990178e+08 2.3876225e+07 0.0000000e+00
6 3.3174307e+10 1.1020171e+05 1.1470776e+08 2.3105624e+07 0.0000000e+00
7 2.8297817e+10 9.4776248e+04 1.0031261e+08 2.0889948e+07 0.0000000e+00
8 2.3613046e+10 7.9406718e+04 8.7228739e+07 1.8691352e+07 0.0000000e+00
9 1.9553598e+10 6.5692517e+04 7.5554183e+07 1.6655348e+07 0.0000000e+00
10 1.5837803e+10 5.3433360e+04 6.5449655e+07 1.4145474e+07 0.0000000e+00
11 1.2920793e+10 4.3331689e+04 5.5769912e+07 1.1499360e+07 0.0000000e+00
12 1.0412631e+10 3.6150794e+04 4.9439004e+07 9.3341258e+06 0.0000000e+00
13 8.4967525e+09 3.0699227e+04 4.3762526e+07 7.5216764e+06 0.0000000e+00
14 7.0245775e+09 2.6143520e+04 3.8794818e+07 6.1355957e+06 0.0000000e+00
15 5.8841911e+09 2.2230622e+04 3.4499458e+07 5.0539124e+06 0.0000000e+00
16 4.9808917e+09 1.8981748e+04 3.0825205e+07 4.2357142e+06 0.0000000e+00
17 4.2661378e+09 1.6318039e+04 2.7690339e+07 3.5959484e+06 0.0000000e+00
18 3.7293379e+09 1.4189391e+04 2.5005940e+07 3.0620663e+06 0.0000000e+00
19 3.2936782e+09 1.2414642e+04 2.2695498e+07 2.6285087e+06 0.0000000e+00
20 2.9183413e+09 1.0861538e+04 2.0699662e+07 2.2780421e+06 0.0000000e+00
21 2.5895743e+09 9.5071979e+03 1.8962121e+07 1.9912175e+06 0.0000000e+00
22 2.3020260e+09 8.3867966e+03 1.7443758e+07 1.7495792e+06 0.0000000e+00
23 2.0522744e+09 7.4561396e+03 1.6110143e+07 1.5423425e+06 0.0000000e+00
24 1.8394413e+09 6.6851813e+03 1.4932746e+07 1.3639967e+06 0.0000000e+00
25 1.6580844e+09 6.0297602e+03 1.3889797e+07 1.2122894e+06 0.0000000e+00
26 1.5044431e+09 5.4848553e+03 1.2961099e+07 1.0817424e+06 0.0000000e+00
27 1.3773671e+09 5.0368499e+03 1.2130230e+07 9.6959642e+05 0.0000000e+00
28 1.2791979e+09 4.6576108e+03 1.1384714e+07 8.7420133e+05 0.0000000e+00
29 1.2015720e+09 4.3382847e+03 1.0712900e+07 7.9403576e+05 0.0000000e+00
30 1.1384899e+09 4.0744894e+03 1.0105011e+07 7.2570179e+05 0.0000000e+00
31 1.0898265e+09 3.8665059e+03 9.5533639e+06 6.6675226e+05 0.0000000e+00
32 1.0516102e+09 3.6984790e+03 9.0512376e+06 6.1655575e+05 0.0000000e+00
33 1.0210095e+09 3.5601494e+03 8.5919982e+06 5.7408655e+05 0.0000000e+00
34 9.9591589e+08 3.4481634e+03 8.1703844e+06 5.3810440e+05 0.0000000e+00
35 9.7599844e+08 3.3594226e+03 7.7818183e+06 5.0740771e+05 0.0000000e+00
36 9.6110336e+08 3.2932243e+03 7.4224515e+06 4.8359093e+05 0.0000000e+00
37 9.5183902e+08 3.2520922e+03 7.0893179e+06 4.6659427e+05 0.0000000e+00
38 9.4996039e+08 3.2392653e+03 6.7796441e+06 4.5798741e+05 0.0000000e+00
39 9.5688135e+08 3.2594050e+03 6.4915908e+06 4.5750328e+05 0.0000000e+00
40 9.7787880e+08 3.3291299e+03 6.2244230e+06 4.6541420e+05 0.0000000e+00
41 1.0183575e+09 3.4665107e+03 5.9770985e+06 4.8318646e+05 0.0000000e+00
42 1.0886004e+09 3.7102825e+03 5.7495536e+06 5.0836629e+05 0.0000000e+00
43 1.1999742e+09 4.0941660e+03 5.5410479e+06 5.3837408e+05 0.0000000e+00
44 1.3533564e+09 4.6254270e+03 5.3516796e+06 5.7247442e+05 0.0000000e+00
45 1.5496269e+09 5.3112758e+03 5.1806202e+06 6.0616993e+05 0.0000000e+00
46 1.7869992e+09 6.1413619e+03 5.0273263e+06 6.3199441e+05 0.0000000e+00
47 2.0594870e+09 7.0917070e+03 4.8902853e+06 6.4717157e+05 0.0000000e+00
48 2.3538650e+09 8.1151178e+03 4.7675746e+06 6.4651144e+05 0.0000000e+00
49 2.6508199e+09 9.1466944e+03 4.6573486e+06 6.2805799e+05 0.0000000e+00
50 2.9289796e+09 1.0112430e+04 4.5570819e+06 5.9240348e+05 0.0000000e+00
51 3.1686498e+09 1.0946361e+04 4.4611946e+06 5.4096072e+05 0.0000000e+00
52 3.3541315e+09 1.1593915e+04 4.3654482e+06 4.8085067e+05 0.0000000e+00
53 3.4726444e+09 1.2010998e+04 4.2649656e+06 4.3231423e+05 0.0000000e+00
54 3.5163682e+09 1.2171020e+04 4.1570845e+06 4.3335368e+05 0.0000000e+00
55 3.4843107e+09 1.2071473e+04 4.0406778e+06 4.5665379e+05 0.0000000e+00
56 3.3804762e+09 1.1725218e+04 3.9168549e+06 4.8188112e+05 0.0000000e+00
57 3.2152774e+09 1.1166690e+04 3.7870790e+06 4.9891701e+05 0.0000000e+00
58 3.0016916e+09 1.0438760e+04 3.6526583e+06 5.1139766e+05 0.0000000e+00
59 2.7503895e+09 9.5790603e+03 3.5144541e+06 5.1637990e+05 0.0000000e+00
60 2.4738997e+09 8.6295927e+03 3.3741989e+06 5.1910974e+05 0.0000000e+00
61 2.1892937e+09 7.6468652e+03 3.2332228e+06 5.2292046e+05 0.0000000e+00
62 1.9468909e+09 6.7998321e+03 3.0939965e+06 5.1835855e+05 0.0000000e+00
63 1.7376769e+09 6.0641511e+03 2.9591714e+06 5.0669129e+05 0.0000000e+00
64 1.5577568e+09 5.4298980e+03 2.8301151e+06 4.8961682e+05 0.0000000e+00
65 1.4224206e+09 4.9509635e+03 2.7101099e+06 4.6916430e+05 0.0000000e+00
66 1.3394297e+09 4.6585981e+03 2.6014970e+06 4.4726272e+05 0.0000000e+00
