# step energy mass x-momentum y-momentum z-momentum 
1 3.4830691e+10 1.2088459e+05 3.7410987e+08 4.5582426e+07 0.0000000e+00
2 4.6661203e+10 1.4626210e+05 3.2019183e+08 3.4386504e+07 0.0000000e+00
3 5.1235874e+10 1.5519775e+05 2.6934300e+08 2.7759892e+07 0.0000000e+00
4 4.8756067e+10 1.5178749e+05 2.2434210e+08 2.6810980e+07 0.0000000e+00
5 4.5896630e+10 1.4557548e+05 1.8577406e+08 2.7141177e+07 0.0000000e+00
6 3.9507407e+10 1.2734805e+05 1.5314216e+08 2.6508924e+07 0.0000000e+00
7 3.3737314e+10 1.0954486e+05 1.2609302e+08 2.4615204e+07 0.0000000e+00
8 2.7797077e+10 9.1726561e+04 1.0419839e+08 2.1831400e+07 0.0000000e+00
9 2.2497284e+10 7.5281368e+04 8.6674701e+07 1.9223999e+07 0.0000000e+00
10 1.8032669e+10 6.2901119e+04 7.2727857e+07 1.5948228e+07 0.0000000e+00
11 1.4549866e+10 5.2253091e+04 6.0171169e+07 1.2850368e+07 0.0000000e+00
12 1.1736291e+10 4.3441995e+04 5.2770985e+07 1.0797660e+07 0.0000000e+00
13 9.5945553e+09 3.5447479e+04 4.6204021e+07 8.7268163e+06 0.0000000e+00
14 8.0280653e+09 2.9223756e+04 4.0663530e+07 7.1415670e+06 0.0000000e+00
15 6.8459903e+09 2.4535506e+04 3.6053228e+07 5.9459052e+06 0.0000000e+00
16 5.9145156e+09 2.0988260e+04 3.2225195e+07 5.0498245e+06 0.0000000e+00
17 5.1803472e+09 1.8263730e+04 2.9025433e+07 4.3898297e+06 0.0000000e+00
18 4.5875910e+09 1.6137159e+04 2.6312617e+07 3.8911817e+06 0.0000000e+00
19 4.0930746e+09 1.4384699e+04 2.3992019e+07 3.4957529e+06 0.0000000e+00
20 3.6765244e+09 1.2948127e+04 2.1981057e+07 3.1554234e+06 0.0000000e+00
21 3.3295648e+09 1.1717915e+04 2.0224548e+07 2.8615397e+06 0.0000000e+00
22 3.0399266e+09 1.0629699e+04 1.8674598e+07 2.6018232e+06 0.0000000e+00
23 2.7804288e+09 9.6562177e+03 1.7299927e+07 2.3686996e+06 0.0000000e+00
24 2.5466805e+09 8.7794940e+03 1.6071585e+07 2.1582805e+06 0.0000000e+00
25 2.3318568e+09 7.9845529e+03 1.4969386e+07 1.9676887e+06 0.0000000e+00
26 2.1344273e+09 7.2650078e+03 1.3975185e+07 1.7937679e+06 0.0000000e+00
27 1.9535984e+09 6.6137844e+03 1.3074726e+07 1.6352866e+06 0.0000000e+00
28 1.7882566e+09 6.0249870e+03 1.2256655e+07 1.4914610e+06 0.0000000e+00
29 1.6378577e+09 5.4985335e+03 1.1510461e+07 1.3606813e+06 0.0000000e+00
30 1.5016465e+09 5.0256183e+03 1.0828153e+07 1.2418228e+06 0.0000000e+00
31 1.3777919e+09 4.6018867e+03 1.0202547e+07 1.1339121e+06 0.0000000e+00
32 1.2657714e+09 4.2202458e+03 9.6274723e+06 1.0360197e+06 0.0000000e+00
33 1.1644507e+09 3.8754114e+03 9.0978944e+06 9.4762653e+05 0.0000000e+00
34 1.0731620e+09 3.5670299e+03 8.6091647e+06 8.6804664e+05 0.0000000e+00
35 9.9131409e+08 3.2919381e+03 8.1573292e+06 7.9640856e+05 0.0000000e+00
36 9.1834991e+08 3.0473410e+03 7.7389474e+06 7.3212002e+05 0.0000000e+00
37 8.5404036e+08 2.8297187e+03 7.3508814e+06 6.7448128e+05 0.0000000e+00
38 7.9781583e+08 2.6379626e+03 6.9904455e+06 6.2307173e+05 0.0000000e+00
39 7.4841055e+08 2.4694914e+03 6.6553310e+06 5.7722036e+05 0.0000000e+00
40 7.0553058e+08 2.3236270e+03 6.3434394e+06 5.3645835e+05 0.0000000e+00
41 6.6832264e+08 2.1975610e+03 6.0528121e+06 5.0044958e+05 0.0000000e+00
42 6.3622829e+08 2.0894889e+03 5.7817720e+06 4.6842108e+05 0.0000000e+00
43 6.0892402e+08 1.9978864e+03 5.5286245e+06 4.3998140e+05 0.0000000e+00
44 5.8603080e+08 1.9214371e+03 5.2918017e+06 4.1455296e+05 0.0000000e+00
45 5.6690475e+08 1.8583568e+03 5.0699694e+06 3.9208191e+05 0.0000000e+00
46 5.5124326e+08 1.8075686e+03 4.8618889e+06 3.7214836e+05 0.0000000e+00
47 5.3861306e+08 1.7676742e+03 4.6664396e+06 3.5464399e+05 0.0000000e+00
48 5.2861921e+08 1.7368925e+03 4.4824416e+06 3.3941469e+05 0.0000000e+00
49 5.2065244e+08 1.7134912e+03 4.3088354e+06 3.2587100e+05 0.0000000e+00
50 5.1466199e+08 1.6978015e+03 4.1450389e+06 3.1414567e+05 0.0000000e+00
51 5.1072079e+08 1.6892882e+03 3.9902622e+06 3.0442726e+05 0.0000000e+00
52 5.0830959e+08 1.6860944e+03 3.8436031e+06 2.9636783e+05 0.0000000e+00
53 5.0789149e+08 1.6894198e+03 3.7045196e+06 2.9010579e+05 0.0000000e+00
54 5.0935581e+08 1.6989552e+03 3.5723871e+06 2.8602716e+05 0.0000000e+00
55 5.1301413e+08 1.7155513e+03 3.4468809e+06 2.8444802e+05 0.0000000e+00
56 5.1928033e+08 1.7405340e+03 3.3277616e+06 2.8559988e+05 0.0000000e+00
57 5.2902861e+08 1.7760579e+03 3.2149989e+06 2.8953330e+05 0.0000000e+00
58 5.4331902e+08 1.8267917e+03 3.1085364e+06 2.9648860e+05 0.0000000e+00
59 5.6316024e+08 1.8967906e+03 3.0083944e+06 3.0721519e+05 0.0000000e+00
60 5.9125844e+08 1.9961900e+03 2.9147134e+06 3.2147356e+05 0.0000000e+00
61 6.2983049e+08 2.1331636e+03 2.8275685e+06 3.3856840e+05 0.0000000e+00
62 6.8242944e+08 2.3201660e+03 2.7471772e+06 3.5811565e+05 0.0000000e+00
63 7.5269327e+08 2.5684695e+03 2.6734032e+06 3.8005624e+05 0.0000000e+00
64 8.4165732e+08 2.8800675e+03 2.6060337e+06 4.0265226e+05 0.0000000e+00
65 9.4941757e+08 3.2576999e+03 2.5447956e+06 4.2502410e+05 0.0000000e+00
66 1.0764706e+09 3.7029991e+03 2.4894185e+06 4.4554596e+05 0.0000000e+00
67 1.2209272e+09 4.2079883e+03 2.4395540e+06 4.6265443e+05 0.0000000e+00
68 1.3799765e+09 4.7622669e+03 2.3948976e+06 4.7461777e+05 0.0000000e+00
69 1.5482624e+09 5.3466785e+03 2.3547983e+06 4.7956437e+05 0.0000000e+00
70 1.7192653e+09 5.9398842e+03 2.3186087e+06 4.7667437e+05 0.0000000e+00
71 1.8864113e+09 6.5192882e+03 2.2860089e+06 4.6526501e+05 0.0000000e+00
72 2.0422579e+09 7.0594538e+03 2.2558919e+06 4.4465478e+05 0.0000000e+00
73 2.1798043e+09 7.5363801e+03 2.2269277e+06 4.1644580e+05 0.0000000e+00
74 2.2929499e+09 7.9289918e+03 2.1974606e+06 3.8352548e+05 0.0000000e+00
75 2.3766512e+09 8.2205009e+03 2.1648456e+06 3.5040169e+05 0.0000000e+00
76 2.4273772e+09 8.3989953e+03 2.1275352e+06 3.4130842e+05 0.0000000e+00
